::ffff:127.0.0.1 - - [14/Sep/2025 19:23:58] "GET /data/visualization-data.json HTTP/1.1" 200 -
::1 - - [14/Sep/2025 19:23:59] "GET / HTTP/1.1" 200 -
::1 - - [14/Sep/2025 19:24:13] "GET / HTTP/1.1" 304 -
::1 - - [14/Sep/2025 19:24:13] "GET /data/visualization-data.json.gz HTTP/1.1" 304 -
::1 - - [14/Sep/2025 19:24:13] "GET /data/search-index.json.gz HTTP/1.1" 304 -
::1 - - [14/Sep/2025 19:24:13] "GET /data/cluster_themes.json.gz HTTP/1.1" 304 -
::1 - - [14/Sep/2025 19:24:13] "GET /data/clustering_results.json.gz HTTP/1.1" 304 -
::1 - - [14/Sep/2025 19:24:13] "GET /cads_logo.png HTTP/1.1" 304 -
::1 - - [14/Sep/2025 19:24:13] "GET /monitoring/error-boundary.js HTTP/1.1" 304 -
::1 - - [14/Sep/2025 19:24:13] "GET /app.js HTTP/1.1" 304 -
::1 - - [14/Sep/2025 19:24:13] "GET /data/visualization-data.json?v=1757895853965 HTTP/1.1" 200 -
::1 - - [14/Sep/2025 19:24:14] "GET /data/cluster_themes.json HTTP/1.1" 304 -
::1 - - [14/Sep/2025 19:24:14] "GET /data/clustering_results.json HTTP/1.1" 304 -
::1 - - [14/Sep/2025 19:24:20] "GET /data/visualization-data.json HTTP/1.1" 200 -
::1 - - [14/Sep/2025 19:25:37] "GET /data/visualization-data.json HTTP/1.1" 200 -
::1 - - [14/Sep/2025 19:25:46] "GET /data/visualization-data.json HTTP/1.1" 200 -
::1 - - [14/Sep/2025 19:25:47] "GET /data/visualization-data.json HTTP/1.1" 200 -
::1 - - [14/Sep/2025 19:25:47] "GET /data/visualization-data.json HTTP/1.1" 200 -
::1 - - [14/Sep/2025 19:36:06] "GET / HTTP/1.1" 304 -
::1 - - [14/Sep/2025 19:36:06] "GET /data/visualization-data.json.gz HTTP/1.1" 304 -
::1 - - [14/Sep/2025 19:36:06] "GET /cads_logo.png HTTP/1.1" 304 -
::1 - - [14/Sep/2025 19:36:06] "GET /data/search-index.json.gz HTTP/1.1" 304 -
::1 - - [14/Sep/2025 19:36:06] "GET /data/cluster_themes.json.gz HTTP/1.1" 304 -
::1 - - [14/Sep/2025 19:36:06] "GET /data/clustering_results.json.gz HTTP/1.1" 304 -
::1 - - [14/Sep/2025 19:36:06] code 404, message File not found
::1 - - [14/Sep/2025 19:36:06] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 -
::1 - - [14/Sep/2025 19:36:06] "GET /monitoring/error-boundary.js HTTP/1.1" 304 -
::1 - - [14/Sep/2025 19:36:06] "GET /app.js HTTP/1.1" 304 -
::1 - - [14/Sep/2025 19:36:06] "GET /data/visualization-data.json?v=1757896566475 HTTP/1.1" 200 -
